Csa03g010630
Csa14g008640
Csa17g010620
Csa18g024810
Csa03g014330
Csa14g013390
Csa17g014600
Csa03g014710
Csa14g013790
Csa17g015030
Csa03g016400
Csa14g015560
Csa17g016850
Csa20g016150
Csa03g017310
Csa14g016490
Csa17g018860
Csa03g018880
Csa14g018220
Csa17g020640
Csa03g018890
Csa14g018240
Csa17g020660
Csa03g022190
Csa17g024140
Csa03g027250
Csa12g066070
Csa14g030620
Csa17g030510
Csa03g034930
Csa14g039490
Csa17g061000
Csa03g036140
Csa14g041770
Csa17g050040
Csa03g036550
Csa14g042110
Csa17g051550
Csa03g053070
Csa14g054310
Csa17g078890
Csa03g053440
Csa03g053460
Csa14g054710
Csa14g054720
Csa14g055300
Csa17g079260
Csa17g090010
Csa03g059560
Csa14g061840
Csa17g092600
Csa03g059760
Csa03g059790
Csa14g062020
Csa14g062050
Csa17g092830
Csa17g092850
Csa03g061750
Csa14g065060
Csa17g094950
Csa07g063740
Csa09g097070
Csa16g055180
Csa07g064380
Csa09g097760
Csa16g055780
Csa05g083370
Csa07g033690
Csa16g028120
Csa07g038580
Csa09g073950
Csa16g034310
Csa07g040670
Csa07g040680
Csa09g078030
Csa16g036170
Csa07g040790
Csa09g078140
Csa16g036340
Csa07g045710
Csa09g078890
Csa16g038240
Csa07g046450
Csa09g079600
Csa16g038920
Csa07g050070
Csa09g084190
Csa16g041610
Csa07g058860
Csa09g094000
Csa16g049390
Csa04g002120
Csa06g001110
Csa09g001150
Csa01g040150
Csa15g062040
Csa19g042190
Csa01g035770
Csa15g071200
Csa19g046330
Csa01g042590
Csa15g084220
Csa19g056370
Csa00441s260
Csa01g044790
Csa15g082310
Csa19g049170
Csa05g044350
Csa07g060400
Csa16g051010
Csa05g044310
Csa07g060440
Csa16g051040
Csa05g033930
Csa07g013360
Csa16g014970
Csa05g025750
Csa07g010470
Csa16g009200
Csa17g059490
Csa04g052510
Csa05g014870
Csa06g041540
Csa04g053460
Csa05g013740
Csa06g043430
Csa04g053480
Csa05g013720
Csa06g043450
Csa04g055050
Csa05g012020
Csa06g045120
Csa04g056010
Csa05g011070
Csa06g047480
Csa04g057500
Csa05g009530
Csa06g048050
Csa04g063050
Csa05g004120
Csa06g051540
Csa04g063640
Csa05g003620
Csa06g052070
Csa04g067780
Csa05g001530
Csa06g054160
Csa01g003210
Csa15g003290
Csa01g003220
Csa15g003300
Csa01g006240
Csa15g006690
Csa19g007750
Csa01g006520
Csa15g006990
Csa19g008090
Csa01g008750
Csa15g009440
Csa19g011460
Csa01g010330
Csa15g010950
Csa19g013020
Csa01g012210
Csa15g014910
Csa19g015230
Csa01g012760
Csa15g015500
Csa19g015830
Csa01g013220
Csa15g016000
Csa19g016350
Csa01g016910
Csa15g018720
Csa19g021040
Csa01g018370
Csa15g020390
Csa19g022540
Csa19g022610
Csa01g018460
Csa15g020490
Csa19g022640
Csa01g019450
Csa15g021670
Csa19g023650
Csa01g020740
Csa15g024360
Csa19g025230
Csa01g021000
Csa15g024730
Csa19g025550
Csa01g021830
Csa15g026520
Csa19g026290
Csa01g021850
Csa15g026530
Csa19g026300
Csa04g009760
Csa04g009790
Csa06g005050
Csa09g008520
Csa09g008530
Csa09g008540
Csa04g024660
Csa06g018480
Csa09g035780
Csa04g033750
Csa06g022410
Csa09g050690
Csa04g036660
Csa06g025030
Csa09g002440
Csa04g037310
Csa06g025650
Csa09g058550
Csa04g041210
Csa06g029540
Csa09g065870
Csa04g041420
Csa06g029750
Csa04g043530
Csa06g032880
Csa09g069610
Csa06g033390
Csa06g033410
Csa06g033430
Csa04g045020
Csa06g034300
Csa09g071100
Csa05g092430
Csa07g004320
Csa16g004280
Csa05g095180
Csa07g001770
Csa16g001770
Csa02g001310
Csa08g001330
Csa13g057160
Csa02g001630
Csa08g001670
Csa13g056850
Csa02g028230
Csa08g037570
Csa13g044710
Csa02g021750
Csa08g043110
Csa13g048130
Csa08g044130
Csa08g044140
Csa13g049040
Csa00430s100
Csa10g031090
Csa11g035440
Csa10g028850
Csa11g033050
Csa12g051070
Csa10g023370
Csa11g026470
Csa12g040690
Csa10g020840
Csa11g023860
Csa12g034570
Csa10g020660
Csa12g034280
Csa10g019220
Csa11g021040
Csa12g030590
Csa10g018810
Csa11g020530
Csa12g030160
Csa10g016940
Csa11g018420
Csa12g026120
Csa10g016030
Csa11g017440
Csa12g025090
Csa10g015800
Csa11g017130
Csa12g024850
Csa10g014990
Csa11g016230
Csa12g022880
Csa10g013510
Csa11g014490
Csa12g020390
Csa10g013020
Csa11g014040
Csa12g017930
Csa11g014030
Csa12g017920
Csa10g011940
Csa11g012790
Csa12g016580
Csa10g011570
Csa11g012410
Csa12g016160
Csa10g010740
Csa11g011540
Csa12g014560
Csa07g050240
Csa10g009240
Csa11g010130
Csa12g011830
Csa12g057600
Csa10g006270
Csa11g005910
Csa12g007640
Csa10g001330
Csa11g001480
Csa12g001380
Csa08g062850
Csa13g001680
Csa20g001900
Csa08g060480
Csa13g006100
Csa20g005210
Csa08g058890
Csa13g007570
Csa20g006850
Csa08g002790
Csa13g014450
Csa13g030600
Csa20g017180
Csa08g005560
Csa13g016300
Csa20g019000
Csa08g006190
Csa13g016990
Csa20g020640
Csa08g007000
Csa13g017750
Csa20g021430
Csa08g007050
Csa13g017800
Csa20g021480
Csa08g008240
Csa13g018930
Csa20g023740
Csa20g023750
Csa08g011190
Csa08g011200
Csa13g021560
Csa20g027020
Csa08g011940
Csa13g022210
Csa20g028930
Csa08g014240
Csa13g023360
Csa20g032360
Csa08g023030
Csa13g031260
Csa20g048720
Csa08g028070
Csa13g036250
Csa20g055560
Csa10g049100
Csa11g058960
Csa12g079300
Csa11g072150
Csa18g011070
Csa20g066660
Csa11g072070
Csa18g010980
Csa20g066730
Csa02g049780
Csa11g085290
Csa18g024490
Csa02g057850
Csa11g088540
Csa18g026780
Csa02g061640
Csa11g090750
Csa18g030170
Csa02g067560
Csa11g094450
Csa18g033950
Csa02g076340
Csa11g104540
Csa18g042120
Csa02g075640
Csa11g103880
Csa18g040500
Acc:Q9FMG4];Csa
Csa00382s240.1
Csa05g022760.1
Csa07g053030.1
