Csa00511s160
Csa00566s170
Csa00619s090
Csa00633s100
Csa01g002170
Csa01g002190
Csa01g002210
Csa01g002220
Csa01g004770
Csa01g004790
Csa01g005140
Csa01g005810
Csa01g006930
Csa01g007860
Csa01g012210
Csa01g013090
Csa01g013220
Csa01g018370
Csa01g018460
Csa01g018480
Csa01g018820
Csa01g029520
Csa01g031130
Csa01g031720
Csa01g031830
Csa01g034760
Csa01g035750
Csa01g036100
Csa02g001540
Csa02g011080
Csa02g012830
Csa02g014480
Csa02g015770
Csa02g017430
Csa02g021750
Csa02g033710
Csa02g035180
Csa02g047750
Csa02g049190
Csa02g062360
Csa02g064500
Csa02g065510
Csa02g067240
Csa02g073210
Csa02g073590
Csa03g001000
Csa03g001510
Csa03g001930
Csa03g002110
Csa03g003060
Csa03g005450
Csa03g005460
Csa03g006040
Csa03g008510
Csa03g008530
Csa03g009740
Csa03g009750
Csa03g009800
Csa03g009970
Csa03g010820
Csa03g011180
Csa03g011960
Csa03g012000
Csa03g021660
Csa03g023250
Csa03g026300
Csa03g026310
Csa03g026320
Csa03g027610
Csa03g029640
Csa03g030270
Csa03g030350
Csa03g033280
Csa03g036810
Csa03g037060
Csa03g039270
Csa03g039320
Csa03g046720
Csa03g046890
Csa03g055300
Csa03g055310
Csa03g061400
Csa04g009960
Csa04g016960
Csa04g024220
Csa04g024230
Csa04g024240
Csa04g028400
Csa04g028640
Csa04g030830
Csa04g031030
Csa04g033580
Csa04g037660
Csa04g037980
Csa04g041610
Csa04g043090
Csa04g046270
Csa04g047040
Csa04g049090
Csa04g051350
Csa04g051720
Csa04g059380
Csa04g061470
Csa04g062460
Csa04g065020
Csa04g065230
Csa04g065830
Csa04g066390
Csa05g001930
Csa05g002440
Csa05g003010
Csa05g003260
Csa05g005670
Csa05g006640
Csa05g008770
Csa05g015510
Csa05g015970
Csa05g018510
Csa05g020450
Csa05g022820
Csa05g023410
Csa05g029860
Csa05g033570
Csa05g033930
Csa05g034810
Csa05g035870
Csa05g044600
Csa05g058130
Csa05g058150
Csa05g058160
Csa05g059570
Csa05g068550
Csa05g068800
Csa05g076270
Csa05g081840
Csa05g084930
Csa05g086210
Csa05g086400
Csa05g092130
Csa05g093640
Csa06g012540
Csa06g017120
Csa06g017130
Csa06g017140
Csa06g019520
Csa06g021630
Csa06g022250
Csa06g026040
Csa06g026400
Csa06g029970
Csa06g031410
Csa06g031430
Csa06g035510
Csa06g037250
Csa06g038260
Csa06g040480
Csa06g040780
Csa06g048940
Csa06g049340
Csa06g050010
Csa06g050960
Csa06g052420
Csa06g052640
Csa06g053240
Csa06g053760
Csa06g053770
Csa07g003100
Csa07g004710
Csa07g008380
Csa07g008400
Csa07g011510
Csa07g013000
Csa07g013360
Csa07g015040
Csa07g015890
Csa07g023540
Csa07g028160
Csa07g029390
Csa07g033170
Csa07g034210
Csa07g036210
Csa07g036400
Csa07g038130
Csa07g046400
Csa07g047670
Csa07g048690
Csa07g050270
Csa07g052320
Csa07g052870
Csa07g057200
Csa07g060060
Csa07g060190
Csa07g063450
Csa07g063910
Csa07g065190
Csa07g065950
Csa08g001600
Csa08g007680
Csa08g008360
Csa08g008370
Csa08g008550
Csa08g010680
Csa08g015630
Csa08g015710
Csa08g017550
Csa08g022320
Csa08g022600
Csa08g028100
Csa08g028460
Csa08g032230
Csa08g043110
Csa08g044450
Csa08g047360
Csa08g048970
Csa08g054040
Csa08g054430
Csa08g054980
Csa08g055820
Csa08g058890
Csa08g059940
Csa09g008690
Csa09g022770
Csa09g034330
Csa09g034350
Csa09g034360
Csa09g034370
Csa09g040850
Csa09g048520
Csa09g050500
Csa09g058880
Csa09g059200
Csa09g067340
Csa09g069080
Csa09g069120
Csa09g071380
Csa09g072540
Csa09g079550
Csa09g080850
Csa09g083810
Csa09g084390
Csa09g086540
Csa09g087070
Csa09g087170
Csa09g092370
Csa09g095220
Csa09g096780
Csa09g097190
Csa09g097250
Csa09g098530
Csa09g099270
Csa09g099580
Csa10g004900
Csa10g007610
Csa10g007620
Csa10g007950
Csa10g007960
Csa10g008420
Csa10g010700
Csa10g011570
Csa10g013600
Csa10g015800
Csa10g017190
Csa10g018810
Csa10g019220
Csa10g020360
Csa10g020370
Csa10g021120
Csa10g021130
Csa10g022650
Csa10g027920
Csa10g027930
Csa10g027940
Csa10g028710
Csa10g028750
Csa10g029560
Csa10g030720
Csa10g032080
Csa10g032090
Csa10g032670
Csa10g033770
Csa10g034800
